风速(m/s),风向,室外温度,电网有功功率
6.69,-1.45,18.66,"1,000.31"
5.99,0.44,19.27,686.79
5.99,0.01,18.96,677.43
5.69,-1.91,18.86,627.03
5.61,3.04,19.01,561.21
5.48,6.24,19.02,504.73
5.58,5.87,19.15,516.23
5.46,6.18,19.31,502.08
5.12,0.76,19.44,498.22
5.37,-0.42,19.26,525.32
4.99,-0.92,19.81,490.02
4.82,2.73,20.43,398.2
4.77,1.54,20.43,371.92
4.39,1.59,20.21,298.9
4.02,2.09,20.14,176.2
3.97,-1.01,20.45,227.27
4.51,-0.21,20.55,228
4.19,-3.39,20.67,197.05
3.97,-4.37,20.75,185.3
4.04,-3.85,20.76,146.47
4.33,-6.93,20.72,207.46
4.36,-5.31,20.57,208.42
4.33,-5.74,20.57,208.07
3.96,-8.59,20.7,144.58
3.68,-0.85,20.77,132.26
3.69,2.31,20.83,132.47
1.85,3.18,20.98,30.18
1.32,1.59,21.01,0
1.6,4.79,20.71,0
1.4,5.07,20.48,0
1.36,-1.32,20.04,0
2,0.59,19.6,0
2.22,5.02,19.04,0
2.27,0.71,18.79,0
1.36,8.05,18.56,0
0.01,18.29,18.18,0
0.03,19.51,18.11,0
0.01,38.07,17.92,0
0.01,59.35,17.78,0
0.01,60.77,17.7,0
0.1,60.6,17.72,0
0.19,67.68,17.83,0
0.59,81.04,17.73,0
1.48,34.33,17.64,0
0.57,13.54,17.39,0
2.09,3.44,17.17,0
2.41,-9.28,17.28,0
1.53,-3.97,17.33,0
0.81,-16.38,17.22,0
0.05,-13.62,17.43,0
0.72,-1.01,17.22,0
1.01,-15.86,16.99,0
0.01,22.1,16.81,0
2.47,20.11,16.54,0
1.11,-0.55,16.54,0
3.27,6.54,16.53,58.91
4.45,-0.75,16.2,294.18
4.43,5.66,15.97,227.09
4.23,-0.69,15.99,225.97
3.84,0.95,15.93,177.91
3.96,-0.64,15.92,183.19
3.93,-2.26,16,187.15
4.22,1.96,15.95,201.54
5.01,2.08,16.01,297.62
4.8,-5.15,16.23,405.1
4.95,-3.82,16.1,440.68
6.41,3.43,16.08,802.01
6.55,5.2,15.97,747.83
5.83,-5.27,15.79,685.52
5.85,-4.69,15.89,732.32
6.25,-4.9,15.89,929.24
6.34,-5.95,15.89,"1,047.89"
6.92,-4.12,15.82,"1,229.12"
6.59,-2.45,15.99,"1,069.45"
6.7,-1.74,16.15,"1,068.56"
6.7,0.24,16.04,993.38
6.07,-4.38,16.05,859.08
5.98,-2.72,16.13,744.51
5.28,1.07,15.94,475
5.62,3.93,15.71,523.94
5.12,-1.53,15.82,393.05
5.51,0.65,15.8,541.54
5.38,1.46,15.73,540.24
6.05,3.82,15.82,661.38
5.1,-0.8,15.99,485.81
4.59,-3.25,15.89,361.78
4.54,-3.32,15.79,317.26
4.8,-1.96,15.75,405.19
4.01,-13.58,15.89,205.98
4.55,3.58,15.67,285.67
4.17,3.83,15.42,264.48
4.16,-3,15.58,226.06
4.18,-4.3,15.57,204.62
4.57,1.88,15.67,331.88
4.77,2.82,15.58,369
4.94,-2.52,15.58,456.76
5.05,0.96,15.48,472.36
4.98,-5.61,15.34,488.5
5.22,-0.9,15.15,476.14
5.27,1.68,15.38,489.88
4.91,-4.83,15.36,511.59
5.05,-6.28,15.17,486.99
5.11,0.81,15.43,502.32
5.37,2.2,15.4,556.69
5.21,0.53,15.39,448.39
5.63,-0.88,15.32,701.71
6.45,1.36,14.98,902.95
6.67,4.2,15.01,918.05
6.9,2.26,15,"1,103.31"
6.63,3.65,14.84,938.62
6.67,3.73,14.88,952.81
6.4,-6.25,15.33,"1,104.81"
6.28,-2.95,15.18,"1,008.06"
5.73,-5.51,15.07,872.92
5.74,-1.22,14.75,772.14
5.22,-7.69,14.87,692.92
5.3,-6.57,14.78,531.63
5.81,-2.22,14.52,720.07
6.39,1.65,14.72,903.2
6.71,3.69,14.68,964.03
5.83,1.63,14.9,721.1
5.55,0.33,14.68,647.25
5.46,-3.29,14.78,695.04
5.86,4.95,14.67,693.7
5.73,7.07,14.62,601.51
5.96,4.9,14.53,659.58
5.9,4.45,14.7,680.24
5.76,4.85,14.69,599.11
5.52,-1.92,14.56,612.18
5.24,-3.4,14.53,487
5.43,-3.95,14.77,684.32
5.17,-7.31,14.99,567.23
5.7,-1.6,14.79,641
5.63,-1.31,15.15,657.03
5.82,-3.21,15.53,773.74
6.02,-4.09,15.63,838
5.84,-2.45,15.52,769.51
5.47,2.59,15.64,608.49
5.27,-0.5,15.92,562.33
5.12,-0.94,16.1,454.06
4.8,-2.31,16.23,439.98
4.86,-5.91,16.91,347.26
5.68,3.64,17.44,608.91
5.92,2.17,17.61,718.45
5.94,2.42,16.83,697.03
5.87,1.23,16.84,699.16
5.86,3.7,16.94,664.52
5.85,5.54,16.88,621.01
5.43,-0.46,16.97,553.87
5.2,-2.69,17.37,513.08
4.83,-3.49,17.97,415.04
4.91,-4.93,18.33,500.49
4.75,-4.68,17.87,444.41
4,-2.25,18.96,212.6
3.36,-0.26,19.14,121.69
